text,audio_path
"A cold, icy drink is stirred and then sipped through a straw until it is gone.",clotho_16k/Drinking Through Straw.wav
A person is pouring a drink and then taking a sip.,clotho_16k/Drinking Through Straw.wav
A stone object rubs and hits against another object,clotho_16k/Drinking Through Straw.wav
A straw is moving and audible as it whirls around the bottom of the drain.,clotho_16k/Drinking Through Straw.wav
Someone is stirring a drink with ice cubes in it and starts drinking with a straw until empty.,clotho_16k/Drinking Through Straw.wav
"A built up sound comprised of whining, chirping and other sounds that slowly dies off.",clotho_16k/the swarm v31m3.wav
"A built up sound comprised of whirring, chirping and other sounds that slowly dies off.",clotho_16k/the swarm v31m3.wav
A noisy vacuum cleaner is used in a confined space.,clotho_16k/the swarm v31m3.wav
A vacuum cleaner with noisy bearings being used in a confined space.,clotho_16k/the swarm v31m3.wav
Cranking noises turn to a low screeching that rises in volume until it is extremely loud.,clotho_16k/the swarm v31m3.wav
"A person gurgling, while trying to ape speech patterns, with some soft, occasional metal clanking in the background.",clotho_16k/Giant 1.wav
"A person gurgling, while trying to mimic speech patterns, with some soft, intermittent metal clanging in the background.",clotho_16k/Giant 1.wav
A person is making weird noises with his or her mouth.,clotho_16k/Giant 1.wav
A person is speaking and is hard to understand.,clotho_16k/Giant 1.wav
A person who has a hole in their neck is talking and they are hard to understand.,clotho_16k/Giant 1.wav
A person is making noise by tapping their fingernails on a solid surface.,clotho_16k/dull metal.wav
Metal prongs rapping insistently against the concrete ground.,clotho_16k/dull metal.wav
Tapping two metal sticks together a few times a second.,clotho_16k/dull metal.wav
Two metal objects tapping into each other a number of times.,clotho_16k/dull metal.wav
Water is dripping from the faucet into the sink.,clotho_16k/dull metal.wav
A person crunches through dried leaves on the ground.,clotho_16k/Small Chain Clanging.wav
Aluminum candy papers are balled up in a hand.,clotho_16k/Small Chain Clanging.wav
Somebody balling up aluminum candy papers in their hand.,clotho_16k/Small Chain Clanging.wav
The chain of a necklace rattles inside a plastic cup.,clotho_16k/Small Chain Clanging.wav
a person is stepping on the ground full of dried leaves,clotho_16k/Small Chain Clanging.wav
A person slowly clears high growth vegetation outdoors,clotho_16k/Hitting Tall Grass.wav
It takes more force to weed and trim as time goes on.,clotho_16k/Hitting Tall Grass.wav
Rocks are being thrown down on the ground.,clotho_16k/Hitting Tall Grass.wav
Sand is being shoveled and dumped on the ground.,clotho_16k/Hitting Tall Grass.wav
The sand that is being shoveled is being dumped on the nearby ground.,clotho_16k/Hitting Tall Grass.wav
A clap of thunder coupled with the running water.,clotho_16k/Thunder Storm Daytona 3.wav
The plants in the forest are being blown and thrashed by the winds.,clotho_16k/Thunder Storm Daytona 3.wav
The thunder begins to roar as the rain is drizzling.,clotho_16k/Thunder Storm Daytona 3.wav
The thunder begins to roar while rain is drizzling.,clotho_16k/Thunder Storm Daytona 3.wav
Water is running and a roar of thunder happens at the same time.,clotho_16k/Thunder Storm Daytona 3.wav
A person trying to use a lighter multiple times to light a cigarette and then inhaling and coughing.,clotho_16k/smoking in car.wav
After the lighter clicks and lights the cigarette the man coughs.,clotho_16k/smoking in car.wav
"Someone starts a lighter, lights a cigarette, takes a breath from the cigarette, and then coughs.",clotho_16k/smoking in car.wav
"Striking the lighter, she lit the cigarette, pulled and began to cough.",clotho_16k/smoking in car.wav
The person tried a few times to light the cigarette with a lighter and he inhales and coughs.,clotho_16k/smoking in car.wav
A female voice communicates over a static walkie-talkie.,clotho_16k/Huston we have a problem (before &amp; after cleaning).wav
Dispatcher and radio communication between people who are talking.,clotho_16k/Huston we have a problem (before &amp; after cleaning).wav
People are talking with each other using radio communication.,clotho_16k/Huston we have a problem (before &amp; after cleaning).wav
People are talking to each other on the radio.,clotho_16k/Huston we have a problem (before &amp; after cleaning).wav
Someone on the radio talking to another person.,clotho_16k/Huston we have a problem (before &amp; after cleaning).wav
A bell sound rings and echoes and slowly returns.,clotho_16k/Subping03.wav
A small quiet mechanical reading or beeping similar to a radar.,clotho_16k/Subping03.wav
A soft mechanical bleeping which is reminiscent of radar.,clotho_16k/Subping03.wav
"A sonar sound starting off strong then fading, to begin strong again and eventually quiet down.",clotho_16k/Subping03.wav
Sonar is activated and its audio oscillates between strong and weak signals.,clotho_16k/Subping03.wav
A baby lamb baaing and an adult lamb baaing while walking through grass.,clotho_16k/sheep on pasture.wav
A human mimics a lamb as it bleats.,clotho_16k/sheep on pasture.wav
A lamb bleating while a human mimics it.,clotho_16k/sheep on pasture.wav
Sheep bleat while birds chirp in the background.,clotho_16k/sheep on pasture.wav
Sheep call out while birds chirp in the background.,clotho_16k/sheep on pasture.wav
A person walks on a scratchy surface in a frequent manner,clotho_16k/je_footstepsCement.wav
A person wearing slides is dragging their feet while they walk.,clotho_16k/je_footstepsCement.wav
Someone is walking down a sidewalk and dragging their feet a little bit.,clotho_16k/je_footstepsCement.wav
Someone walking down a sidewalk and dragging their feet a little bit.,clotho_16k/je_footstepsCement.wav
Someone walks by wearing flip flops as they clack and scrape along the sidewalk.,clotho_16k/je_footstepsCement.wav
"A great number of people of all sorts of ages converse with each other, including a small child.",clotho_16k/Geroezemoes.wav
A group of people are having breakfast together in a cafeteria.,clotho_16k/Geroezemoes.wav
A group of people eat breakfast together at a table in the cafeteria.,clotho_16k/Geroezemoes.wav
A group or crowd of people speaking and shouting.,clotho_16k/Geroezemoes.wav
A large of group of people composed of different ages talk to each other including a toddler.,clotho_16k/Geroezemoes.wav
A book being flipped through over and over.,clotho_16k/paper01.wav
A books whose page keeps being turned over.,clotho_16k/paper01.wav
Flipping through a book to put emphasis on the movement of the paper.,clotho_16k/paper01.wav
Some flipping the pages of a book with large leaves,clotho_16k/paper01.wav
Someone flipping the large leaf pages of a book.,clotho_16k/paper01.wav
A car idling then somebody blowing a whistle while motorcycles pass by,clotho_16k/0400 Traffic_police.wav
A person blows a whistle at a busy city intersection.,clotho_16k/0400 Traffic_police.wav
A person blows a whistle at a busy intersection.,clotho_16k/0400 Traffic_police.wav
Several cars drive along a road while a police officer directs traffic.,clotho_16k/0400 Traffic_police.wav
Several cars driving on a road and a whistle is sounding.,clotho_16k/0400 Traffic_police.wav
"A short distance away, a group of people engage in indistinguishable chatter.","clotho_16k/Crowd ambience, eating popcorn.wav"
"As time goes on, the bustling crowd chatter resonates.","clotho_16k/Crowd ambience, eating popcorn.wav"
Many people were moving and discussing inside of a large hall.,"clotho_16k/Crowd ambience, eating popcorn.wav"
The activity of crowd chatter resonates as time goes on.,"clotho_16k/Crowd ambience, eating popcorn.wav"
people are talking loudly in the background indistinguishably,"clotho_16k/Crowd ambience, eating popcorn.wav"
"A person was walking on a sidewalk adjacent to a school, where children were playing on the playground.","clotho_16k/Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav"
"As the wind begins to blow, background sounds like metal clanking and children screeching arise.","clotho_16k/Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav"
From outside the laundromat someone watches the clothes go round and round in the dryer,"clotho_16k/Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav"
Metal clanks as the wind blows and the voices of children are screeching way in the background.,"clotho_16k/Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav"
Someone walking down a sidewalk next to a school with kids on the playground playing.,"clotho_16k/Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav"
A large industrial machine was whirring inside of a room.,clotho_16k/Fan_Ventilation_Stereo 4.wav
A large industrial machine whirring inside of a room.,clotho_16k/Fan_Ventilation_Stereo 4.wav
A loud mechanical whir is quite muffled by a distant nature sound.,clotho_16k/Fan_Ventilation_Stereo 4.wav
A small engine runs with a small fan of a vehicle similar to a car.,clotho_16k/Fan_Ventilation_Stereo 4.wav
Industry equipment being utilized inside a company warehouse,clotho_16k/Fan_Ventilation_Stereo 4.wav
Animals and insects are making their usual sounds in a meadow.,clotho_16k/Cicadas and birds in a hot summer noon.wav
Birds chirping outside while people are talking in the background.,clotho_16k/Cicadas and birds in a hot summer noon.wav
"In a jungle, a flock of birds chirp among the flowing river.",clotho_16k/Cicadas and birds in a hot summer noon.wav
"In the distance, different birds chirped at different times.",clotho_16k/Cicadas and birds in a hot summer noon.wav
"The jungle with a lot of birds chirping, and potentially a river or waterfall nearby.",clotho_16k/Cicadas and birds in a hot summer noon.wav
A hair trimmer being used to cut hair.,clotho_16k/150209 Trevor Webb Beard Trimming.wav
A pair of hair clippers is cutting through hair.,clotho_16k/150209 Trevor Webb Beard Trimming.wav
The hair of a person is being cut with a hair trimmer.,clotho_16k/150209 Trevor Webb Beard Trimming.wav
The buzz of an electric razor cutting the hair of someone.,clotho_16k/150209 Trevor Webb Beard Trimming.wav
"The buzzing of an electric razor, as someone receives a hair cut.",clotho_16k/150209 Trevor Webb Beard Trimming.wav
A camp fire crackles as the flames burn branches and leaves.,clotho_16k/16_Rain_Light_Ocean_44_16.wav
A camp fire is crackling as it burns up branches and leaves.,clotho_16k/16_Rain_Light_Ocean_44_16.wav
A whir close by and cracking occurs because of a small fire.,clotho_16k/16_Rain_Light_Ocean_44_16.wav
A whir nearby and then cracking is apparent from a small fire.,clotho_16k/16_Rain_Light_Ocean_44_16.wav
The rain is falling and dripping without other noise.,clotho_16k/16_Rain_Light_Ocean_44_16.wav
A lot of noise is coming from a factory engine.,clotho_16k/160718 HSN boy on tricycle passing by.wav
A person shredding paper in a paper shredder.,clotho_16k/160718 HSN boy on tricycle passing by.wav
A shredder is on and a person puts a charge card into the shredder.,clotho_16k/160718 HSN boy on tricycle passing by.wav
Someone is playing with a remote control car,clotho_16k/160718 HSN boy on tricycle passing by.wav
a factory engine is making a lot of noise,clotho_16k/160718 HSN boy on tricycle passing by.wav
An upbeat melody of music is repeatedly playing.,clotho_16k/remix of 130879__frederic-font__05-hang-song-1.wav
Multiple phase music is being played with a rhythmic beat.,clotho_16k/remix of 130879__frederic-font__05-hang-song-1.wav
Music is being played with a steady beat.,clotho_16k/remix of 130879__frederic-font__05-hang-song-1.wav
Someone playing an instrument at a constant rate and tune.,clotho_16k/remix of 130879__frederic-font__05-hang-song-1.wav
an upbeat music melody is playing over and over again,clotho_16k/remix of 130879__frederic-font__05-hang-song-1.wav
A hand held sander was used as various speeds.,clotho_16k/2 Gardener - May 2013 - Take01 - ZOOM H2n.wav
A power tool is being used to cut grass.,clotho_16k/2 Gardener - May 2013 - Take01 - ZOOM H2n.wav
A weed whacker trimming edges from a lawn.,clotho_16k/2 Gardener - May 2013 - Take01 - ZOOM H2n.wav
A weed whacker trims the edges of a lawn.,clotho_16k/2 Gardener - May 2013 - Take01 - ZOOM H2n.wav
Someone is operating a weed eater power tool.,clotho_16k/2 Gardener - May 2013 - Take01 - ZOOM H2n.wav
A siren sounds in the distance as heavy traffic rumbles by and a street performer starts playing.,clotho_16k/fridaynight.wav
Apparatus running and a melodic instrument being played in the meantime.,clotho_16k/fridaynight.wav
"Traffic roars, a distant siren sounds, and a street performer plays music.",clotho_16k/fridaynight.wav
someone is playing the trumpet as cars and people are passing by,clotho_16k/fridaynight.wav
someone is playing the trumpet while cars and people are passing by,clotho_16k/fridaynight.wav
A machine is making a loud clicking noise.,clotho_16k/ClockTicking.wav
A pendulum moves back and forth and a pendulum ticks.,clotho_16k/ClockTicking.wav
A pendulum ticks as it moves back and forth.,clotho_16k/ClockTicking.wav
The machine is making a loud clicking noise.,clotho_16k/ClockTicking.wav
the ticktocking of a loud clock in the foreground,clotho_16k/ClockTicking.wav
"Chains are rattling while a horse is moving, then a man coughs.",clotho_16k/Running.wav
"Slow first, then quickening, horse feet and the jangle of their harness pass along, followed by a light cough.",clotho_16k/Running.wav
Someone is running with their keys just a jingling and then coughs.,clotho_16k/Running.wav
"With increasing speed, the trotting of horse feet and the jangle of their equipment pass by, followed by a cough.",clotho_16k/Running.wav
"chains are rattling, as horse is moving, then man coughs",clotho_16k/Running.wav
"A man moves from the basement to upstairs, moving a heavy metal object with him.",clotho_16k/opening and closing a loft door.wav
"Somebody slides open a heavy object or doorway, then continues walking.",clotho_16k/opening and closing a loft door.wav
Someone closes the garage door and then walks upstairs.,clotho_16k/opening and closing a loft door.wav
Someone slowly slides open a heavy screen door and then proceeds to walk down the hallway.,clotho_16k/opening and closing a loft door.wav
wooden rod beating sound and pushing some heavy material sound,clotho_16k/opening and closing a loft door.wav
"A person shatters multiple glass objects, and then bangs on things.",clotho_16k/Breaking Glass .wav
"Breaking glass, maybe a bottle, eight pieces of window or a conservatory with repetitive strikes on the glass objective",clotho_16k/Breaking Glass .wav
Plates break loudly as they are dropped to the floor.,clotho_16k/Breaking Glass .wav
The tinkling glass sounds after bottles are thrown and broken.,clotho_16k/Breaking Glass .wav
the sound of glass breaking and falling onto the floor,clotho_16k/Breaking Glass .wav
Storm wind blows in the dense forest and makes a peaceful sound.,clotho_16k/arsta.wav
Storm wind blows in the dense forest very nice sound,clotho_16k/arsta.wav
"The wind is so strong, it is blowing at a high altitude.",clotho_16k/arsta.wav
Wind and rain point to signs of a hurricane.,clotho_16k/arsta.wav
Wind is blowing and bursting at a high altitude.,clotho_16k/arsta.wav
"A dog jumped into the water and swim and then came out panting, it shook its body",clotho_16k/Dog splashing in a lake.wav
"A dog pants, jumps in water, and shakes the water off.",clotho_16k/Dog splashing in a lake.wav
"A dog wearing a chain collar runs towards a pool, swims through it, and returns, then shakes the water off.",clotho_16k/Dog splashing in a lake.wav
"A dog with chain collar runs towards a pool, swims through and returns to shake the water off.",clotho_16k/Dog splashing in a lake.wav
"Jumping into the water to swim, the dog came out panting and shook his body.",clotho_16k/Dog splashing in a lake.wav
A group is in a carriage that is being drawn by a horse on a paved road.,clotho_16k/20100402.Brugge.street.04.wav
A group of people socializing and a horse trotting in the background.,clotho_16k/20100402.Brugge.street.04.wav
A throng of people are socializing as a horse trots by in the background.,clotho_16k/20100402.Brugge.street.04.wav
"Several people talking and laughing, with a horse passing along in the background.",clotho_16k/20100402.Brugge.street.04.wav
"Several people were talking and laughing, with a horse is passing by along in the background.",clotho_16k/20100402.Brugge.street.04.wav
A loud foot stomp interrupts the rhythmic use of the old adding machine.,clotho_16k/DOOR_sliding_fthrll.wav
A mechanical device is being rattled loose while making plastic noises and thuds.,clotho_16k/DOOR_sliding_fthrll.wav
An old adding machine clattering and a foot striking against a hard floor.,clotho_16k/DOOR_sliding_fthrll.wav
Someone closing drawers of folders being pushed back.,clotho_16k/DOOR_sliding_fthrll.wav
mechanical device being rattled lightly with plastic noises and thuds.,clotho_16k/DOOR_sliding_fthrll.wav
A boat rises above the large waves while a person yells something.,clotho_16k/20110220_river.wav
Background voices were present during the wind furiously and continuously rustled and blew.,clotho_16k/20110220_river.wav
It is easy to sleep when a lot of rain from a storm hits the top of a country roof.,clotho_16k/20110220_river.wav
People are floating down a river in a plastic boat while talking to each other.,clotho_16k/20110220_river.wav
Water running over a waterfall with a frog croaking in the background.,clotho_16k/20110220_river.wav
A car honks from the midst of a rainstorm.,clotho_16k/20130723_Rain1.wav
A vehicle comes to a stop and idles with clunking sound before multiple honks and yells interfere.,clotho_16k/20130723_Rain1.wav
Rain from a rainstorm is hitting surfaces and a car honks,clotho_16k/20130723_Rain1.wav
Rain hitting the ground before and after two vehicles honk their horns and a man hollers in the background.,clotho_16k/20130723_Rain1.wav
The rain is coming down hard and a horn blows in the distance.,clotho_16k/20130723_Rain1.wav
Beautiful pipe organ music is played before trailing off into silence.,clotho_16k/SFX_001.wav
It is a peaceful instrumental keyboard melody with bell sounds.,clotho_16k/SFX_001.wav
"Pipe organ music, beautifully played then trails off into silence",clotho_16k/SFX_001.wav
Unknown musical tones coming from some kind of electric musical instrument.,clotho_16k/SFX_001.wav
a dull instrumental keyboard melody with bell sounds,clotho_16k/SFX_001.wav
A person tapping a hollow brass bell indoors.,clotho_16k/steel water.wav
A person taps a brass bell while inside.,clotho_16k/steel water.wav
Different type of vessels are beaten with a stick to give different noise,clotho_16k/steel water.wav
Different type of vessels are beaten with a stick to give different noise effects.,clotho_16k/steel water.wav
Someone plays music on an metal musical instrument or device.,clotho_16k/steel water.wav
A high pitched wind instrument is played over and over the notes make a high pitched squeal.,clotho_16k/A swing is squeaking at night. (Ukraine.wav
A person plays the wind instrument making sharp shrill sounds terrible to listen to.,clotho_16k/A swing is squeaking at night. (Ukraine.wav
"As a bus is moving, someone plays a flute.",clotho_16k/A swing is squeaking at night. (Ukraine.wav
Someone was playing flute in a moving bus,clotho_16k/A swing is squeaking at night. (Ukraine.wav
The flutist tunes his instrument before beginning to play.,clotho_16k/A swing is squeaking at night. (Ukraine.wav
A river flows and water trickles down the rocks.,clotho_16k/Lively Forest Stream (loop).wav
"As the river flows, water trickled down the rocks.",clotho_16k/Lively Forest Stream (loop).wav
"Raining really hard, street flooded, it did not look like going to stop.",clotho_16k/Lively Forest Stream (loop).wav
Water drips slowly an continuously as a video is playing.,clotho_16k/Lively Forest Stream (loop).wav
Water trickles down the rocks as the river flows.,clotho_16k/Lively Forest Stream (loop).wav
A crystal and metal big lamp is being hung.,clotho_16k/Bangles put on arm.wav
Metal balls hitting each other while they are being dropped into a glass bowl,clotho_16k/Bangles put on arm.wav
"Metallic, distinguished objects are being put in place.",clotho_16k/Bangles put on arm.wav
Small metal balls are hitting each other while they are being dropped into a glass bowl,clotho_16k/Bangles put on arm.wav
a metal object is clashing with other metals.,clotho_16k/Bangles put on arm.wav
A cashier at a grocery store scanning items.,clotho_16k/AMB_Supermarket_BCN.wav
A grocery store clerk is scanning some items of food.,clotho_16k/AMB_Supermarket_BCN.wav
A grocery store clerk scanning some items of food.,clotho_16k/AMB_Supermarket_BCN.wav
A scanner beeps as items are being run along it.,clotho_16k/AMB_Supermarket_BCN.wav
"At a grocery store, a cashier is scanning items.",clotho_16k/AMB_Supermarket_BCN.wav
A farm has several oinking hogs in it.,clotho_16k/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav
A few pigs are oinking while a child is speaking in the background.,clotho_16k/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav
A lot of pigs oinking in the background,clotho_16k/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav
Hogs oinking in an enclosure with faint noises of people talking in the background.,clotho_16k/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav
Pigs oinking while people chatter in the background.,clotho_16k/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav
"A gun starts shooting continuously, a second and third gun join in after a few seconds.",clotho_16k/Anti Air Gun (3 Sounds).wav
A single gun being to shoot repeatedly and is shortly followed by a second and third gun.,clotho_16k/Anti Air Gun (3 Sounds).wav
Pounding slowly then at a solid pace similar to rapid gunfire.,clotho_16k/Anti Air Gun (3 Sounds).wav
Three people are playing video games and firing machine guns.,clotho_16k/Anti Air Gun (3 Sounds).wav
different gun shot constantly and another set of gun shot back,clotho_16k/Anti Air Gun (3 Sounds).wav
A truck drives down a road before fading into the distance.,clotho_16k/City Ambience w_ Car Passing_1-2.wav
A truck driving down the road before disappearing.,clotho_16k/City Ambience w_ Car Passing_1-2.wav
A vehicle has drove past a quiet environment .,clotho_16k/City Ambience w_ Car Passing_1-2.wav
"An engine rumbles, splutters slightly and fades into the distance as it passes.",clotho_16k/City Ambience w_ Car Passing_1-2.wav
An engine splutters and rumbles slightly and fades into the distance as it passes.,clotho_16k/City Ambience w_ Car Passing_1-2.wav
A person noisily uses and then flushes a toilet.,clotho_16k/Goin wee wee.wav
"Someone first noisily uses, then flushes a toilet.",clotho_16k/Goin wee wee.wav
Someone urinated into the water closet and flushed it,clotho_16k/Goin wee wee.wav
Someone was urinating into the toilet with water and then flushed it.,clotho_16k/Goin wee wee.wav
Water slowly drips before moving into large splashes before a giant flush.,clotho_16k/Goin wee wee.wav
A car engine getting louder and tires moving over crunching gravel.,clotho_16k/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav
"A car rides down a gravel driveway, gains speed and exits onto the street.",clotho_16k/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav
"A car riding down a gravel driveway, gains speed and moves onto the street.",clotho_16k/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav
A vehicle is maneuvering on gravel and then drives away.,clotho_16k/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav
A vehicle maneuvers on gravel before driving away.,clotho_16k/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav
"A creature grunts like human, mumbles as time progresses.",clotho_16k/Baby crying slowed down.wav
A person is struggling in distress and making noises gasping for air.,clotho_16k/Baby crying slowed down.wav
A person is struggling in distress and making noises to gasp for air.,clotho_16k/Baby crying slowed down.wav
Human vocal chords are poorly imitating a farm animal.,clotho_16k/Baby crying slowed down.wav
Human vocal chords imitate a farm animal poorly.,clotho_16k/Baby crying slowed down.wav
A guy is speaking with the screaming of a person in the background,clotho_16k/driving_buying_beer_on_sunday.wav
A man is talking while looking at his phone and walking to his car.,clotho_16k/driving_buying_beer_on_sunday.wav
